frame,track_id,vehicle,confidence,center_x,center_y
109,428,car,0.631,850,691
109,470,car,0.639,1035,682
109,480,car,0.63,765,502
109,370,car,0.717,596,537
109,3,car,0.781,675,583
110,277,car,0.587,441,535
110,259,car,0.751,623,689
110,428,car,0.639,850,691
110,470,car,0.684,1037,682
110,480,car,0.729,767,501
110,491,car,0.322,435,411
110,337,car,0.615,611,515
110,473,car,0.461,1233,578
111,259,car,0.742,622,689
111,428,car,0.582,850,691
111,470,car,0.705,1033,682
111,436,car,0.479,876,424
111,3,car,0.814,645,594
112,259,car,0.743,622,689
112,428,car,0.643,849,691
112,470,car,0.658,1038,682
112,277,car,0.592,441,535
112,480,car,0.656,766,502
112,491,car,0.359,434,412
112,337,car,0.772,611,509
113,259,car,0.779,622,689
113,428,car,0.638,849,691
113,470,car,0.66,1039,682
113,277,car,0.65,441,535
113,480,car,0.66,766,502
113,337,car,0.599,612,508
113,27,truck,0.397,302,557
113,436,car,0.388,876,425
113,3,car,0.769,605,582
114,259,car,0.737,623,689
114,428,car,0.647,849,691
114,470,car,0.659,1040,682
114,277,car,0.361,440,535
114,480,car,0.714,764,502
114,337,car,0.763,612,507
115,259,car,0.73,623,689
115,428,car,0.648,849,691
115,470,car,0.651,1040,682
115,277,car,0.628,440,533
115,480,car,0.691,767,502
115,337,car,0.767,612,507
115,158,car,0.543,746,431
115,436,car,0.397,876,425
116,259,car,0.686,622,689
116,428,car,0.621,848,690
116,470,car,0.671,1040,682
116,277,car,0.61,441,533
116,480,car,0.751,767,502
116,337,car,0.771,612,507
116,436,car,0.358,876,423
116,394,car,0.619,684,407
117,259,car,0.683,619,677
117,428,car,0.632,837,679
117,470,car,0.612,1025,672
117,277,car,0.459,441,534
117,480,car,0.708,769,500
117,337,car,0.709,612,507
118,259,car,0.757,621,673
118,428,car,0.669,824,676
118,480,car,0.572,770,499
118,337,car,0.691,612,507
118,518,car,0.537,717,462
118,440,car,0.328,443,382
118,27,car,0.317,300,557
118,436,car,0.319,876,423
119,480,car,0.392,770,499
119,522,car,0.732,242,666
119,525,car,0.783,786,603
119,527,bus,0.618,424,588
119,27,car,0.344,299,557
119,436,car,0.382,876,425
119,387,car,0.828,624,576
119,394,car,0.47,670,399
120,480,car,0.378,771,499
120,522,car,0.784,248,643
120,527,bus,0.709,440,545
120,436,car,0.432,876,425
120,532,car,0.684,907,565
120,387,car,0.755,623,565
120,259,car,0.686,638,671
120,428,car,0.495,838,682
120,337,car,0.432,613,508
121,522,car,0.826,250,629
121,527,truck,0.607,457,524
121,436,car,0.327,876,423
121,387,car,0.732,608,556
121,541,car,0.792,209,686
121,259,car,0.724,615,648
121,525,car,0.701,810,595
121,27,car,0.388,299,557
122,522,car,0.786,253,625
122,527,truck,0.558,484,528
122,436,car,0.409,876,424
122,387,car,0.705,614,567
122,541,car,0.813,211,679
122,547,car,0.522,721,337
122,428,car,0.746,811,669
122,337,car,0.384,614,507
123,522,car,0.766,252,624
123,527,truck,0.535,503,526
123,436,car,0.382,876,425
123,387,car,0.747,619,561
123,541,car,0.811,213,676
123,547,car,0.475,722,336
123,428,car,0.701,801,651
123,337,car,0.406,613,507
123,440,car,0.31,445,383
124,522,car,0.76,252,622
124,527,bus,0.574,510,522
124,436,car,0.384,876,424
124,387,car,0.739,623,559
124,541,car,0.812,214,675
124,547,car,0.518,722,335
124,428,car,0.771,815,635
124,337,car,0.656,614,507
124,561,car,0.815,1219,578
124,563,car,0.685,771,573
124,277,car,0.409,435,530
124,27,car,0.382,302,562
125,522,car,0.665,251,619
125,527,truck,0.473,517,516
125,387,car,0.7,609,577
125,541,car,0.789,214,675
125,547,car,0.497,721,329
125,337,car,0.491,616,506
125,561,car,0.818,1174,579
125,563,car,0.46,786,568
125,572,car,0.614,608,270
125,573,car,0.363,562,280
125,277,car,0.527,437,533
125,27,car,0.331,304,562
126,522,car,0.664,248,619
126,527,truck,0.302,524,511
126,387,car,0.707,609,560
126,541,car,0.79,214,674
126,563,car,0.646,773,561
126,572,car,0.512,608,269
126,573,car,0.362,562,280
126,277,car,0.646,442,535
126,577,car,0.355,658,270
126,436,car,0.432,876,426
127,522,car,0.653,249,619
127,527,truck,0.373,531,508
127,387,car,0.628,606,556
127,541,car,0.832,215,673
127,563,car,0.424,751,555
127,572,car,0.478,608,268
127,573,car,0.317,562,280
127,277,car,0.566,443,535
127,436,car,0.346,876,424
127,525,car,0.759,822,567
128,522,car,0.669,250,619
128,387,car,0.762,595,550
128,541,car,0.843,216,672
128,563,car,0.815,755,560
128,573,car,0.392,562,281
128,277,car,0.647,442,535
128,436,car,0.415,876,427
128,589,car,0.468,718,542
128,337,car,0.431,620,517
129,522,car,0.638,251,619
129,387,car,0.791,569,540
129,541,car,0.853,217,671
129,563,car,0.817,771,565
129,277,car,0.621,442,535
129,436,car,0.399,876,427
129,337,car,0.613,623,527
129,27,car,0.366,320,559
130,522,car,0.481,248,618
130,387,car,0.761,543,531
130,541,car,0.684,219,668
130,277,car,0.664,443,535
130,436,car,0.398,876,426
130,337,car,0.57,624,531
130,27,car,0.372,312,559
130,480,car,0.393,778,505
130,440,car,0.303,444,383
130,525,car,0.766,837,560
130,589,car,0.554,730,549
131,387,car,0.655,527,520
131,541,car,0.687,223,656
131,277,car,0.627,443,535
131,436,car,0.424,876,426
131,337,car,0.493,624,532
131,27,car,0.41,305,558
131,480,car,0.354,777,502
131,589,car,0.713,734,551
132,387,car,0.473,519,510
132,541,car,0.613,220,669
132,277,car,0.669,443,534
132,436,car,0.404,876,426
132,337,car,0.544,624,530
132,27,car,0.385,302,556
132,589,car,0.751,736,548
133,387,car,0.592,521,498
133,277,car,0.673,443,534
133,436,car,0.339,876,424
133,337,car,0.723,623,526
133,27,car,0.303,300,557
133,589,car,0.649,730,543
133,394,car,0.527,608,346
133,572,car,0.496,608,275
133,480,car,0.419,773,503
134,277,car,0.691,444,534
134,436,car,0.386,876,425
134,337,car,0.633,621,520
134,589,car,0.842,725,534
134,394,car,0.592,597,338
135,277,car,0.587,443,534
135,436,car,0.352,876,426
135,337,car,0.609,616,509
135,589,car,0.761,718,522
135,491,car,0.391,437,413
136,277,car,0.688,443,534
136,436,car,0.367,876,426
136,491,car,0.385,437,412
136,428,car,0.792,728,562
136,394,car,0.485,598,330
137,436,car,0.313,876,425
137,491,car,0.378,437,412
137,3,car,0.712,468,571
137,563,car,0.786,789,563
138,491,car,0.353,437,411
138,666,car,0.576,816,696
138,277,car,0.685,444,535
139,666,car,0.499,819,695
139,674,car,0.761,531,559
139,277,car,0.694,444,535
139,158,car,0.643,746,436
139,480,car,0.638,759,512
139,436,car,0.396,876,425
139,563,car,0.754,815,561
140,666,car,0.561,821,694
140,674,car,0.694,541,548
140,277,car,0.664,443,534
140,681,car,0.361,1057,696
140,480,car,0.724,764,504
140,436,car,0.329,877,421
140,563,car,0.737,827,562
140,491,car,0.309,436,411
141,666,car,0.55,822,694
141,674,car,0.625,545,533
141,277,car,0.498,444,535
141,681,car,0.435,1057,697
141,436,car,0.322,878,420
141,491,car,0.306,436,411
